application_id,customer_id,customer_name,application_date,product_type,loan_amount,loan_term_months,interest_rate,annual_income,employment_status,application_status
APP00633,CUST2460,Olivia Johnson,10-23-2023,Education Loan,,36,3.93,,Self-Employed,Pending
APP00504,CUST2781,,2024/07/20,Car Loan,,36,6.01,112177,Employed,Under Review
APP00079,CUST1779,Sophia Johnson,24/11/2025, Business Loan ,,48,8.93,76539,Student,Approved
APP00822,CUST2632,,2025/01/28,Mortgage,,48,13.03,,Self-Employed,
APP00408,CUST1285,Emma Brown,"March 02, 2024",Education Loan,74828,60,,,Employed, pending 
APP00178,CUST2130,Michael Taylor,21/05/2025,Car Loan,25356,48,,60622,Self-Employed,
APP00825,CUST2361,Olivia Taylor,07-03-2023,Mortgage,,36,6.61,101193, employed ,Rejected
APP00427,CUST1883,Olivia Taylor,"April 09, 2024",Car Loan,,36,10.87,, employed ,Rejected
APP00397,CUST1865,,16/03/2024,,52455,24,13.1,,Unemployed,approved
APP00007,CUST1528,,06-03-2025,Mortgage,35826,36,8.81,49706,Employed, pending 
APP00722,CUST1845,,03-04-2026,Mortgage,28023,12,,, employed ,Under Review
APP00280,CUST1278,Olivia Brown,"March 30, 2025",personal loan,26156,36,,88767,Unemployed,Pending
APP00890,CUST2942,Daniel Anderson,17-Mar-2025,personal loan,,60,,,Employed,Under Review
APP00641,CUST1185,Daniel Smith,"September 03, 2025",Personal Loan,,,14.51,105946,,Under Review
APP00275,CUST1311,Emma Brown,"August 02, 2023",Mortgage,34813,60,10.81,, employed ,Pending
APP00141,CUST2356,Sophia Brown,07-28-2025,personal loan,,60,7.73,91465,Unemployed,Approved
APP00688,CUST2216,,03/03/2025,personal loan,67500,36,13.43,98988,,Pending
APP00388,CUST1449,Sophia Anderson,31-Oct-2024,Personal Loan,54835,36,7.36,,,Pending
APP00735,CUST1622,,"August 06, 2025",Education Loan,67908,48,,89592,employed,approved
APP00113,CUST2841,Sophia Taylor,"September 19, 2024",Mortgage,42847,24,,,Self-Employed,Rejected
APP00673,CUST1271,John Johnson,2025/05/31, Business Loan ,21005,36,12.56,,employed,Approved
APP00425,CUST2569,,2025-10-22,Car Loan,,12,,89978,Student, pending 
APP00892,CUST1344,Sophia Anderson,06/01/2024,Mortgage,,36,,,employed,Under Review
APP00100,CUST1665,,04/06/2025,Personal Loan,,36,9.17,51468,Unemployed,
APP00052,CUST1162,,23/05/2024,Car Loan,,24,10.37,138738,Self-Employed, pending 
APP00624,CUST1321,Sophia Smith,18/10/2023,,12677,48,,72031,employed,Rejected
APP00476,CUST1038,,26/05/2025,Mortgage,69329,12,,, employed ,Rejected
APP00112,CUST1080,Olivia Anderson,2026-01-26, Business Loan ,78326,24,,59735,employed,Pending
APP00729,CUST2933,,28-Dec-2024,Car Loan,,60,,,Student,Approved
APP00877,CUST2729,Emma Smith,"March 01, 2025",Personal Loan,31848,36,7.5,,Unemployed,approved
APP00818,CUST2707,Sophia Anderson,18-Nov-2023,Education Loan,87783,48,,,Self-Employed,approved
APP00625,CUST2115,,17/11/2023,personal loan,14463,,,67393,Unemployed,Pending
APP00570,CUST2129,Emma Taylor,02-Aug-2023,Personal Loan,,48,13.06,, employed , pending 
APP00324,CUST1282,John Anderson,2025/12/28,Education Loan,,48,11.28,,,
APP00386,CUST1057,John Taylor,"February 04, 2025",Car Loan,92370,48,,,Employed, pending 
APP00172,CUST1376,,23/10/2023,Mortgage,33298,60,11.48,138888,Employed,Rejected
APP00738,CUST2620,Michael Anderson,2025/05/23,Education Loan,64307,48,,,employed,Pending
APP00897,CUST2083,John Johnson,2025-03-10,Education Loan,,60,,,Employed,Under Review
APP00225,CUST2055,,"December 18, 2025",Education Loan,41837,60,10.52,,Self-Employed,
APP00608,CUST1092,Sophia Brown,03-24-2024,Education Loan,49768,24,,143634,Unemployed,Under Review
APP00452,CUST2701,Emma Anderson,24-Aug-2023, Business Loan ,82093,24,,23004,Employed,Rejected
APP00538,CUST1965,Sophia Smith,19-Nov-2025,Personal Loan,7758,60,,127915,,approved
